,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-02-05,228.49,231.02,228.3,230.92,230.92,15493183,15493183,2.43,1.0635,230.08,"February 05, 25",0.010635
1,2025-02-04,227.2,233.13,226.65,232.8,232.8,44489128,44489128,5.6,2.46479,230.86,"February 04, 25",0.0246479
2,2025-02-03,229.99,231.83,225.7,228.01,228.01,73063301,73063301,-1.98,-0.86091,228.8825,"February 03, 25",-0.0086091
3,2025-01-31,247.19,247.19,233.44,236.0,236.0,101075128,101075128,-11.19,-4.53,240.955,"January 31, 25",-0.0453
4,2025-01-30,238.67,240.79,237.21,237.59,237.59,55658300,55658300,-1.07,-0.45251,238.565,"January 30, 25",-0.0045251
5,2025-01-29,234.12,239.86,234.01,239.36,239.36,45486100,45486100,5.24,2.24,236.8375,"January 29, 25",0.0224
6,2025-01-28,230.85,240.19,230.81,238.26,238.26,75707600,75707600,7.41,3.21,235.0275,"January 28, 25",0.0321
7,2025-01-27,224.02,232.15,223.98,229.86,229.86,94863418,94863418,5.84,2.61,227.5025,"January 27, 25",0.0261
8,2025-01-24,224.78,225.63,221.41,222.78,222.78,54697907,54697907,-2.0,-0.88976,223.65,"January 24, 25",-0.0088976
9,2025-01-23,224.74,227.03,222.3,223.66,223.66,60234800,60234800,-1.08,-0.48056,224.4325,"January 23, 25",-0.0048056
10,2025-01-22,219.79,224.12,219.79,223.83,223.83,64126500,64126500,4.04,1.84,221.8825,"January 22, 25",0.0184
11,2025-01-21,224.0,224.42,219.38,222.64,222.64,98070429,98070429,-1.36,-0.60714,222.61,"January 21, 25",-0.0060714
12,2025-01-17,232.12,232.29,228.48,229.98,229.98,68488301,68488301,-2.14,-0.92194,230.7175,"January 17, 25",-0.0092194
13,2025-01-16,237.35,238.01,228.03,228.26,228.26,71759100,71759100,-9.09,-3.83,232.9125,"January 16, 25",-0.0383
14,2025-01-15,234.64,238.96,234.43,237.87,237.87,39832000,39832000,3.24,1.38,236.475,"January 15, 25",0.0138
15,2025-01-14,234.75,236.12,232.47,233.28,233.28,39435300,39435300,-1.47,-0.6262,234.155,"January 14, 25",-0.006262
16,2025-01-13,233.53,234.67,229.72,234.4,234.4,49630725,49630725,0.87,0.37254,233.08,"January 13, 25",0.0037254
17,2025-01-10,240.01,240.16,233.0,236.85,236.85,61710900,61710900,-3.16,-1.32,237.505,"January 10, 25",-0.0132
18,2025-01-08,241.92,243.71,240.05,242.7,242.7,37628940,37628940,0.78,0.32242,242.095,"January 08, 25",0.0032242
19,2025-01-07,242.98,245.55,241.35,242.21,242.21,40856000,40856000,-0.77,-0.3169,243.0225,"January 07, 25",-0.003169
20,2025-01-06,244.31,247.33,243.2,245.0,245.0,45045600,45045600,0.69,0.28243,244.96,"January 06, 25",0.0028243
21,2025-01-03,243.36,244.18,241.89,243.36,243.36,40244114,40244114,0.0,0.0,243.1975,"January 03, 25",0.0
22,2025-01-02,248.93,249.1,241.82,243.85,243.85,55740731,55740731,-5.08,-2.04,245.925,"January 02, 25",-0.0204
23,2024-12-31,252.44,253.28,249.43,250.42,250.42,39480718,39480718,-2.02,-0.80019,251.3925,"December 31, 24",-0.0080019
24,2024-12-30,252.23,253.5,250.75,252.2,252.2,35557542,35557542,-0.03,-0.01189391,252.17,"December 30, 24",-0.0001189391
25,2024-12-27,257.83,258.7,253.06,255.59,255.59,42355321,42355321,-2.24,-0.86879,256.295,"December 27, 24",-0.0086879
26,2024-12-26,258.19,260.1,257.63,259.02,259.02,27263000,27263000,0.83,0.32147,258.735,"December 26, 24",0.0032147
27,2024-12-24,255.49,258.21,255.29,258.2,258.2,23234705,23234705,2.71,1.06,256.7975,"December 24, 24",0.0106
28,2024-12-23,254.77,255.65,253.45,255.27,255.27,40858800,40858800,0.5,0.19626,254.785,"December 23, 24",0.0019626
29,2024-12-20,248.04,255.0,245.69,254.49,254.49,147495300,147495300,6.45,2.6,250.805,"December 20, 24",0.026
30,2024-12-19,247.5,252.0,247.09,249.79,249.79,60882300,60882300,2.29,0.92525,249.095,"December 19, 24",0.0092525
31,2024-12-18,252.16,254.28,247.74,248.05,248.05,56774101,56774101,-4.11,-1.63,250.5575,"December 18, 24",-0.0163
32,2024-12-17,250.08,253.83,249.78,253.48,253.48,51356400,51356400,3.4,1.36,251.7925,"December 17, 24",0.0136
33,2024-12-16,247.99,251.38,247.65,251.04,251.04,51694800,51694800,3.05,1.23,249.515,"December 16, 24",0.0123
34,2024-12-13,247.82,249.29,246.24,248.13,248.13,33155300,33155300,0.315,0.12509,247.87,"December 13, 24",0.0012509
35,2024-12-12,246.89,248.74,245.68,247.96,247.96,32777532,32777532,1.07,0.43339,247.3175,"December 12, 24",0.0043339
36,2024-12-11,247.96,250.8,246.26,246.49,246.49,45205814,45205814,-1.47,-0.59284,247.8775,"December 11, 24",-0.0059284
37,2024-12-10,246.89,248.21,245.34,247.77,247.77,36914806,36914806,0.88,0.35643,247.0525,"December 10, 24",0.0035643
38,2024-12-09,241.83,247.24,241.75,246.75,246.75,44649232,44649232,4.92,2.03,244.3925,"December 09, 24",0.0203
39,2024-12-06,242.91,244.63,242.08,242.84,242.84,36870619,36870619,-0.065,-0.02881726,243.115,"December 06, 24",-0.0002881726
40,2024-12-05,243.99,244.54,242.13,243.04,243.04,40033900,40033900,-0.95,-0.38936,243.425,"December 05, 24",-0.0038936
41,2024-12-04,242.87,244.11,241.25,243.01,243.01,44383935,44383935,0.14,0.05764401,242.81,"December 04, 24",0.0005764401
42,2024-12-03,239.81,242.76,238.9,242.65,242.65,38861017,38861017,2.84,1.18,241.03,"December 03, 24",0.0118
43,2024-12-02,237.27,240.79,237.16,239.59,239.59,48137103,48137103,2.32,0.97779,238.7025,"December 02, 24",0.0097779
