,Time,Low,High,Open,Close,Volume
599,2023-06-16 20:00:00,1712.96,1769.08,1716.71,1727.09,45580.87620723
598,2023-06-17 20:00:00,1712.61,1747.4,1727.15,1720.43,37169.42339912
597,2023-06-18 20:00:00,1698.53,1750.71,1720.4,1736.58,64986.67973263
596,2023-06-19 20:00:00,1713.79,1797.24,1736.45,1792.86,131094.31127116
595,2023-06-20 20:00:00,1787.4,1901.86,1792.71,1889.57,205714.82101311
594,2023-06-21 20:00:00,1866.57,1933.72,1889.46,1872.13,136777.14234797
593,2023-06-22 20:00:00,1861.37,1936.68,1872.13,1893.66,112622.71955974
592,2023-06-23 20:00:00,1865.64,1906.86,1893.74,1875.87,44081.47507327
591,2023-06-24 20:00:00,1869.88,1930.66,1875.88,1899.73,67353.84099709
590,2023-06-25 20:00:00,1836.25,1908.95,1899.8,1859.19,89749.72763224
589,2023-06-26 20:00:00,1855.41,1912.6,1859.19,1889.82,92097.01330236
588,2023-06-27 20:00:00,1816.0,1890.49,1889.77,1827.37,101759.55539935
587,2023-06-28 20:00:00,1826.43,1879.6,1827.3,1852.11,72773.6432135
586,2023-06-29 20:00:00,1823.2,1946.75,1851.98,1933.57,211965.83457331
585,2023-06-30 20:00:00,1908.65,1944.32,1933.7,1924.14,56737.84297268
584,2023-07-01 20:00:00,1885.33,1959.7,1924.14,1937.26,85221.98862426
583,2023-07-02 20:00:00,1933.46,1976.99,1937.28,1955.76,104013.30517861
582,2023-07-03 20:00:00,1931.7,1967.07,1955.76,1936.42,61516.63477519
581,2023-07-04 20:00:00,1894.18,1942.66,1936.44,1910.14,70482.06535559
580,2023-07-05 20:00:00,1845.7,1957.76,1910.15,1845.8,124378.76917782
579,2023-07-06 20:00:00,1825.38,1878.09,1846.04,1870.93,86368.39903159
578,2023-07-07 20:00:00,1842.57,1873.23,1870.9,1865.56,49501.03716728
577,2023-07-08 20:00:00,1856.62,1879.35,1865.56,1863.01,34389.84936597
576,2023-07-09 20:00:00,1846.99,1905.83,1862.99,1880.62,90689.06095885
575,2023-07-10 20:00:00,1862.23,1891.7,1880.62,1878.66,58861.84428148
574,2023-07-11 20:00:00,1864.17,1905.0,1878.58,1871.65,91650.67609635
573,2023-07-12 20:00:00,1862.44,2014.26,1871.65,2005.95,217841.38411854
572,2023-07-13 20:00:00,1898.88,2029.34,2005.95,1938.91,164795.03146848
571,2023-07-14 20:00:00,1926.92,1947.04,1938.99,1931.9,40675.73037046
570,2023-07-15 20:00:00,1914.75,1944.15,1931.89,1923.38,39618.81522884
569,2023-07-16 20:00:00,1873.61,1936.93,1923.21,1911.38,132065.00633478
568,2023-07-17 20:00:00,1876.01,1917.49,1911.26,1897.72,129808.3219303
567,2023-07-18 20:00:00,1882.15,1922.33,1897.72,1888.73,111607.1389253
566,2023-07-19 20:00:00,1877.77,1929.03,1888.65,1891.72,100239.01603496
565,2023-07-20 20:00:00,1884.43,1905.41,1891.76,1891.92,55235.39533058
564,2023-07-21 20:00:00,1851.35,1897.62,1891.92,1866.69,42352.40590843
563,2023-07-22 20:00:00,1858.19,1905.24,1866.61,1888.65,61563.29015459
562,2023-07-23 20:00:00,1832.83,1890.93,1888.64,1849.69,127978.18134477
561,2023-07-24 20:00:00,1844.69,1868.14,1849.68,1857.28,57419.42710699
560,2023-07-25 20:00:00,1848.03,1887.75,1857.29,1871.92,72684.14808293
559,2023-07-26 20:00:00,1854.39,1886.15,1871.92,1860.88,53353.05426066
558,2023-07-27 20:00:00,1856.18,1882.77,1860.87,1874.05,52759.67579773
557,2023-07-28 20:00:00,1869.1,1886.26,1874.01,1880.71,23628.03151224
556,2023-07-29 20:00:00,1848.81,1885.46,1880.88,1861.65,49111.67488831
555,2023-07-30 20:00:00,1850.55,1876.82,1861.65,1856.0,84251.92423923
554,2023-07-31 20:00:00,1812.0,1874.88,1856.09,1872.89,160513.30855928
553,2023-08-01 20:00:00,1820.1,1878.86,1872.78,1838.92,102912.60761585
552,2023-08-02 20:00:00,1824.0,1857.6,1838.91,1834.34,70134.44959281
551,2023-08-03 20:00:00,1813.45,1849.99,1834.34,1827.3,72934.78259447
550,2023-08-04 20:00:00,1824.45,1837.16,1827.3,1834.66,24788.06790609
549,2023-08-05 20:00:00,1823.7,1836.92,1834.66,1827.5,25736.92637861
548,2023-08-06 20:00:00,1800.0,1844.11,1827.49,1826.9,80578.46482025
547,2023-08-07 20:00:00,1824.0,1876.1,1826.9,1855.71,90813.36288326
546,2023-08-08 20:00:00,1843.35,1870.85,1855.71,1854.09,67061.64786301
545,2023-08-09 20:00:00,1844.07,1864.35,1854.09,1850.38,47379.82288863
544,2023-08-10 20:00:00,1836.41,1855.54,1850.38,1846.76,51401.34991694
543,2023-08-11 20:00:00,1844.93,1852.7,1846.77,1849.09,20642.38300552
542,2023-08-12 20:00:00,1833.03,1859.99,1849.08,1838.98,28666.82026917
541,2023-08-13 20:00:00,1833.27,1854.19,1838.98,1844.01,50098.05830532
540,2023-08-14 20:00:00,1811.34,1845.65,1844.0,1827.19,50058.31066665
539,2023-08-15 20:00:00,1795.15,1829.39,1827.19,1805.51,67033.53900372
538,2023-08-16 20:00:00,1540.0,1808.18,1805.51,1681.42,189703.49281099
537,2023-08-17 20:00:00,1640.18,1699.33,1681.46,1661.4,160133.36341664
536,2023-08-18 20:00:00,1653.84,1696.0,1661.28,1669.65,54692.61607557
535,2023-08-19 20:00:00,1661.83,1694.48,1669.65,1685.39,46426.8880623
534,2023-08-20 20:00:00,1648.65,1688.1,1685.36,1667.2,79186.37606678
533,2023-08-21 20:00:00,1579.34,1669.11,1667.2,1634.33,110850.76953958
532,2023-08-22 20:00:00,1628.81,1700.46,1634.32,1679.22,111905.50727937
531,2023-08-23 20:00:00,1634.73,1683.16,1679.21,1660.36,77217.23328739
530,2023-08-24 20:00:00,1634.54,1676.19,1660.41,1652.75,83010.44896333
529,2023-08-25 20:00:00,1643.0,1654.74,1652.77,1646.25,18986.91545465
528,2023-08-26 20:00:00,1645.38,1659.43,1646.26,1657.51,22244.70853004
527,2023-08-27 20:00:00,1621.04,1662.7,1657.5,1651.94,60673.32488256
526,2023-08-28 20:00:00,1639.04,1745.88,1651.93,1729.34,122275.58410558
525,2023-08-29 20:00:00,1694.98,1730.96,1729.26,1705.47,61097.35135783
524,2023-08-30 20:00:00,1629.76,1726.16,1705.46,1645.58,116578.15874188
523,2023-08-31 20:00:00,1601.69,1654.27,1645.58,1628.46,92601.69188977
522,2023-09-01 20:00:00,1627.43,1644.64,1628.46,1636.83,30753.43898001
521,2023-09-02 20:00:00,1624.93,1646.97,1636.83,1635.68,36069.9532434
520,2023-09-03 20:00:00,1615.85,1644.57,1635.65,1629.75,43034.41180385
519,2023-09-04 20:00:00,1608.85,1646.66,1629.75,1633.85,54592.69579861
518,2023-09-05 20:00:00,1608.17,1669.0,1633.85,1632.08,64159.11336815
517,2023-09-06 20:00:00,1622.41,1659.1,1632.09,1647.44,60902.59005054
516,2023-09-07 20:00:00,1615.65,1658.29,1647.44,1635.94,58305.48970523
515,2023-09-08 20:00:00,1629.32,1637.14,1635.94,1635.14,13173.50160468
514,2023-09-09 20:00:00,1596.78,1635.66,1635.15,1616.65,46891.05891276
513,2023-09-10 20:00:00,1530.6,1618.61,1616.68,1551.36,122138.1334909
512,2023-09-11 20:00:00,1549.21,1624.99,1551.33,1593.07,92121.78663878
511,2023-09-12 20:00:00,1581.65,1618.56,1592.92,1608.06,71432.28132924
510,2023-09-13 20:00:00,1607.48,1644.4,1608.06,1627.18,84810.57469743
